ID,lat,lon,
256,36.7775795,3.2549043,
257,36.7644693,3.2519005,
258,36.7658269,3.2604818,
259,36.7757691,3.2628698,
260,36.7709237,3.2643236,
261,36.7754571,3.2543909,
262,36.7648775,3.2611535,
263,36.773695,3.2571971,
264,36.7730975,3.2562349,
265,36.7640353,3.2658095,
266,36.772234,3.2552208,
267,36.7702703,3.2647635,
268,36.7658529,3.2633819,
269,36.7770725,3.2665873,
270,36.7737121,3.2562702,
271,36.7722471,3.255406,
272,36.7694667,3.2566101,
273,36.7695183,3.2557197,
274,36.7773176,3.2666088,
275,36.7649077,3.2618957,
276,36.764886,3.2604827,
277,36.7757619,3.2627305,
278,36.7664534,3.2533822,
279,36.7765139,3.2665229,
280,36.7857854,3.2801641,
281,36.7852484,3.2859473,
282,36.7734023,3.2562524,
283,36.7726894,3.2548466,
284,36.7643299,3.2611425,
285,36.7658959,3.2604776,
286,36.7643275,3.261014,
288,36.7639837,3.2659973,
290,36.7755646,3.2550084,
291,36.7641685,3.2648118,
292,36.7754434,3.2556234,
293,36.7723543,3.2541856,
294,36.7872717,3.2803776,
295,36.7832833,3.2638449,
296,36.7839041,3.2789573,
297,36.7858718,3.2622084,
298,36.7843068,3.2764247,
299,36.7857772,3.2610779,
300,36.7860436,3.2743815,
301,36.7841619,3.2770637,
302,36.7787811,3.270757,
303,36.7855624,3.262124,
304,36.7848535,3.273829,
305,36.7855323,3.2764736,
306,36.7857171,3.261373,
307,36.7857901,3.2785067,
308,36.7842907,3.2735501,
309,36.7839041,3.2788286,
310,36.7788559,3.2661105,
311,36.7847633,3.2648652,
312,36.7838353,3.2794723,
313,36.7844196,3.2673596,
314,36.7848922,3.273829,
315,36.7855237,3.2647686,
316,36.7859018,3.2765058,
317,36.7841619,3.2771281,
318,36.786181,3.2744084,
319,36.7781976,3.2660188,
320,36.7858588,3.2782224,
321,36.7848364,3.2637601,
322,36.7793941,3.2367385,
323,36.7796919,3.2324089,
324,36.778973,3.2428603,
325,36.7785664,3.2486877,
326,36.7906022,3.2503601,
327,36.7902358,3.2561424,
328,36.7852874,3.2681321,
329,36.783796,3.2695846,
330,36.7904015,3.2499095,
331,36.7903657,3.2503388,
332,36.7841962,3.2676654,
333,36.7909321,3.2503401,
334,36.7909625,3.2499815,
335,36.7909245,3.2503942,
336,36.7849266,3.2626497,
337,36.7855968,3.2627194,
338,36.7854501,3.2435249,
339,36.778977,3.242803,
340,36.7849738,3.2675152,
341,36.7847275,3.2493601,
342,36.7851699,3.2435103,
343,36.7790742,3.2413902,
344,36.7791788,3.2398694,
345,36.7807992,3.2474742,
346,36.7786719,3.2472388,
347,36.7804558,3.245929,
348,36.7787747,3.2457441,
349,36.7793029,3.2444066,
350,36.7788697,3.2443623,
351,36.7807282,3.2445708,
1483,36.779284,3.2383395,
352,36.7795681,3.2342093,
353,36.7812462,3.2549646,
354,36.7793719,3.2547682,
355,36.7806381,3.2489217,
356,36.7802207,3.2548467,
357,36.7816622,3.249034,
358,36.7806789,3.257145,
359,36.7811884,3.2552478,
360,36.7814065,3.25261,
1534,36.7794091,3.2365204,
361,36.7914736,3.2708402,
362,36.7886909,3.2740543,
363,36.7944594,3.275309,
364,36.7920619,3.2855802,
365,36.7762007,3.2714142,
366,36.7927882,3.2737425,
367,36.7769597,3.2715106,
368,36.7937036,3.2741396,
369,36.77205,3.2554925,
370,36.7723887,3.2553438,
371,36.7919504,3.2710119,
372,36.775552,3.2745794,
373,36.7871425,3.2845399,
374,36.7876414,3.2810976,
375,36.7763983,3.2714571,
376,36.7943649,3.2748101,
377,36.7765482,3.2679073,
378,36.7765014,3.2714571,
379,36.7740956,3.2744721,
380,36.7684765,3.2678907,
381,36.7684918,3.2675892,
382,36.776046,3.2745955,
383,36.7683601,3.2658055,
384,36.7910482,3.2728895,
385,36.7684633,3.2656253,
386,36.7919719,3.2733294,
387,36.76971,3.2652176,
388,36.789302,3.2720248,
389,36.7700629,3.2651651,
390,36.7724902,3.2653961,
391,36.7727976,3.2651862,
392,36.7764866,3.2655137,
393,36.7721268,3.2649567,
394,36.7723711,3.2627142,
395,36.7724764,3.2614214,
396,36.7726101,3.2594707,
397,36.7698668,3.2651816,
398,36.7914349,3.273088,
399,36.7936463,3.274332,
400,36.7718016,3.2556366,
401,36.7722104,3.2570002,
402,36.7722157,3.2571785,
403,36.7722051,3.2575112,
404,36.7720725,3.2591728,
405,36.7720823,3.2594015,
406,36.7721393,3.2591832,
407,36.7723024,3.2574703,
408,36.7723087,3.2570438,
409,36.7722943,3.2568172,
410,36.7722219,3.2564423,
411,36.7720205,3.2558567,
412,36.7719231,3.2555638,
413,36.7759899,3.2624828,
414,36.7755952,3.2624214,
415,36.7752642,3.2623806,
416,36.77446,3.2623667,
417,36.7724136,3.2622265,
418,36.7770767,3.265202,
419,36.7770119,3.2652432,
420,36.7767066,3.2654622,
421,36.773071,3.2595819,
422,36.7735138,3.2594033,
423,36.7740297,3.2594835,
424,36.7745887,3.2595372,
425,36.7748277,3.2594911,
426,36.7753849,3.2592064,
427,36.7756104,3.2591742,
428,36.7767083,3.2595275,
429,36.7770866,3.2596189,
430,36.7791732,3.2399498,
431,36.7806089,3.3183326,
432,36.7849475,3.317699,
433,36.7845244,3.317281,
434,36.7835366,3.3279577,
1244,36.7724434,3.3150325,
1323,36.7700989,3.3103976,
1324,36.7703396,3.3095136,
86,36.759675,3.3335021,
87,36.7598683,3.3334156,
92,36.7600579,3.3333495,
437,36.7614555,3.3330098,
438,36.7597792,3.2460317,
439,36.7598127,3.248928,
440,36.7595848,3.2489859,
441,36.7641659,3.264865,
442,36.7642399,3.264865,
443,36.7667545,3.2495542,
444,36.766832,3.2492477,
445,36.7594643,3.2480254,
446,36.760023,3.2451572,
447,36.7607983,3.2474885,
1338,36.7699228,3.3112568,
449,36.7668922,3.2488455,
450,36.7814127,3.3016813,
448,36.7598056,3.2487275,
451,36.7751026,3.293012,
453,36.7720962,3.2995515,
454,36.7694528,3.3168377,
455,36.7765444,3.3005287,
456,36.781679,3.3012522,
457,36.7988139,3.2692422,
458,36.7958729,3.2760132,
459,36.7975826,3.2748222,
460,36.7980036,3.2746988,
461,36.7954862,3.2757879,
462,36.7977974,3.2749027,
463,36.7978747,3.2748812,
464,36.7983086,3.2747954,
465,36.7967584,3.2763783,
466,36.7978074,3.2726749,
467,36.7821092,3.3013635,
468,36.7752175,3.2918398,
469,36.7819411,3.3013326,
470,36.7697823,3.3023646,
471,36.7780399,3.2931787,
472,36.781215,3.3008176,
473,36.7753701,3.2902833,
474,36.7812537,3.3012897,
475,36.7812193,3.3016277,
476,36.7698248,3.3022651,
477,36.7820872,3.3017081,
478,36.7697463,3.3029393,
479,36.7812709,3.3012468,
480,36.78149,3.3012629,
481,36.7762304,3.2885469,
482,36.7691669,3.3016104,
483,36.7754227,3.2898717,
484,36.7723663,3.2932836,
485,36.7816275,3.3017081,
486,36.7684579,3.2963644,
487,36.7781093,3.2985003,
488,36.775806,3.2892205,
489,36.7830725,3.2632707,
490,36.7785152,3.2546914,
491,36.7810461,3.2549416,
492,36.7800287,3.2548322,
493,36.7787536,3.2547045,
494,36.7797883,3.2548012,
495,36.7791953,3.2547463,
496,36.7803758,3.2548645,
497,36.7825738,3.2518678,
498,36.7827779,3.2496492,
499,36.7827001,3.2505541,
500,36.7827394,3.2501681,
501,36.7774678,3.2650665,
502,36.7776508,3.2652114,
503,36.7775789,3.2652327,
504,36.7776152,3.265224,
505,36.7775612,3.2650979,
506,36.7776282,3.265092,
507,36.7775276,3.2650954,
508,36.7775948,3.2650967,
509,36.7776854,3.2651949,
510,36.7776612,3.2650838,
511,36.7774017,3.2650978,
512,36.7774012,3.2652608,
513,36.7774061,3.2652663,
514,36.7817234,3.300764,
515,36.7835673,3.2606702,
516,36.7829502,3.260597,
517,36.7825584,3.260641,
