ID,lat,lon
134,36.772032,3.0597076
135,36.7706227,3.0581452
136,36.7716991,3.0594625
137,36.7719797,3.0595098
138,36.7718216,3.0595183
139,36.7712994,3.060582
140,36.7710901,3.060672
141,36.7711577,3.06075
142,36.7709086,3.0606767
143,36.7714333,3.0609886
144,36.7712887,3.0611496
145,36.7716217,3.0618066
146,36.7725499,3.0596803
147,36.7732762,3.0581894
148,36.7732552,3.0598807
149,36.7727304,3.060732
150,36.7725918,3.0599665
151,36.7772695,3.059222
152,36.776583,3.0592823
153,36.7756994,3.0594309
154,36.7750016,3.0595423
155,36.7746545,3.0595958
156,36.7737177,3.059781
157,36.7773968,3.0593954
158,36.7729136,3.0577406
159,36.772206,3.0569072
160,36.7714695,3.0559642
161,36.770312,3.0553248
162,36.7702629,3.0552936
163,36.7700056,3.0550506
164,36.769947,3.0553191
165,36.7618249,3.0479035
166,36.7701572,3.0556873
167,36.7698969,3.0553513
168,36.7702177,3.0554353
169,36.7698359,3.0553537
170,36.7701591,3.0555961
171,36.7681312,3.0527718
172,36.7671783,3.0515462
173,36.7670899,3.0514082
174,36.7670687,3.0513158
175,36.7671851,3.0509677
176,36.7686437,3.0533755
177,36.7679082,3.0525089
178,36.7670803,3.0511969
179,36.7672831,3.0508368
180,36.7688581,3.0536504
181,36.7683814,3.0530565
182,36.7674543,3.050592
183,36.7674913,3.0504961
184,36.7670254,3.050007
185,36.7670061,3.0499785
186,36.7669889,3.0499402
187,36.7668524,3.0494625
188,36.7662899,3.0490736
189,36.7661572,3.0487833
190,36.7660195,3.0475333
191,36.7674302,3.0503068
192,36.7669187,3.0496317
193,36.7660521,3.0479317
194,36.7660484,3.0470531
195,36.7674951,3.0504136
196,36.7672635,3.050166
197,36.7669495,3.0498286
198,36.7667389,3.0493544
199,36.766139,3.0486028
200,36.7660937,3.0482901
201,36.7610191,3.0477368
202,36.7608545,3.047638
203,36.7607913,3.0473157
204,36.7618385,3.0474957
205,36.7605571,3.045945
206,36.7600206,3.045734
207,36.7598928,3.0456113
208,36.7598472,3.0455276
209,36.7596563,3.0450775
210,36.7595653,3.0449296
211,36.758706,3.0449038
212,36.76168,3.0476218
213,36.7617748,3.0475856
214,36.761778,3.0471598
215,36.7601446,3.0458005
216,36.7595049,3.0448742
217,36.7594114,3.0448219
218,36.7592526,3.0447871
219,36.7585787,3.0450293
220,36.7615708,3.0476056
221,36.7581951,3.0453579
222,36.7590889,3.0447918
223,36.7587734,3.0448642
224,36.7618325,3.0472561
225,36.7618609,3.0474
226,36.7717973,3.0563532
227,36.7720534,3.0589837
228,36.7682765,3.0542362
229,36.7725433,3.0573208
230,36.7700064,3.0551463
231,36.7724275,3.0603703
232,36.7734352,3.0610489
233,36.7741705,3.0596919
234,36.7743553,3.0608234
235,36.7748189,3.0607146
236,36.7738274,3.060954
237,36.7752116,3.0606387
238,36.7718612,3.0564521
239,36.7803533,3.0615728
240,36.7811713,3.0619036
241,36.7784874,3.060634
242,36.778838,3.0608123
243,36.7793061,3.061048
244,36.7796748,3.0612302
