source,target,length,type,speed,bidirectional
440,445,86.64,residential,30,1
291,442,9.25,residential,30,1
442,441,8.23,residential,30,1
446,438,82.51,residential,30,1
438,877,144.0,residential,30,1
877,448,96.25,residential,30,1
448,439,17.88,residential,30,1
449,444,36.46,residential,30,1
444,443,28.64,residential,30,1
461,458,47.46,residential,30,1
458,465,103.72,residential,30,1
185,459,38.34,unclassified,50,1
459,462,24.94,unclassified,50,1
462,463,8.81,unclassified,50,1
463,460,21.67,unclassified,50,1
460,464,35.0,unclassified,50,1
479,480,24.41,residential,30,1
480,456,21.04,residential,30,1
456,469,30.02,residential,30,1
469,467,18.9,residential,30,1
3502,3116,14.04,residential,30,1
3116,3103,6.67,residential,30,1
3103,451,7.27,residential,30,1
451,468,105.22,residential,30,1
468,473,139.71,residential,30,1
473,3132,31.18,residential,30,1
3132,483,5.96,residential,30,1
483,3133,5.96,residential,30,1
3133,3118,5.96,residential,30,1
3118,3144,11.04,residential,30,1
3144,773,20.57,residential,30,1
773,3450,34.77,residential,30,1
476,922,3.39,residential,30,1
922,3403,3.4,residential,30,1
3403,470,3.39,residential,30,1
470,478,51.36,residential,30,1
3144,804,32.29,residential,30,1
804,3142,5.58,residential,30,1
3142,3140,5.34,residential,30,1
3140,3138,5.81,residential,30,1
3138,3135,3.25,residential,30,1
3135,488,3.25,residential,30,1
488,3134,2.78,residential,30,1
3134,3136,2.78,residential,30,1
3136,3150,16.34,residential,30,1
3150,779,2.32,residential,30,1
779,937,2.32,residential,30,1
937,778,2.15,residential,30,1
778,780,2.15,residential,30,1
780,3089,31.26,residential,30,1
3089,774,3.92,residential,30,1
774,776,3.92,residential,30,1
776,775,3.93,residential,30,1
775,3071,3.93,residential,30,1
3071,481,10.14,residential,30,1
2179,472,71.62,residential,30,1
472,2154,10.66,residential,30,1
2154,479,38.51,residential,30,1
479,474,4.27,residential,30,1
474,475,30.35,residential,30,1
475,450,22.04,residential,30,1
450,485,24.01,residential,30,1
485,477,51.13,residential,30,1
3284,503,4.11,residential,30,0
503,504,4.11,residential,30,0
504,502,4.12,residential,30,0
502,509,4.12,residential,30,0
510,506,3.74,residential,30,0
506,508,3.74,residential,30,0
508,505,3.74,residential,30,0
505,507,3.74,residential,30,0
246,515,251.59,unclassified,50,1
515,516,68.95,unclassified,50,1
516,517,43.76,unclassified,50,1
517,518,11.42,unclassified,50,1
518,999,4.71,unclassified,50,1
539,1735,243.65,tertiary,70,1
1735,2395,44.98,tertiary,70,1
2395,1696,87.44,tertiary,70,1
1696,688,33.45,tertiary,70,1
688,540,39.51,tertiary,70,1
540,2333,65.81,tertiary,70,1
2333,692,16.16,tertiary,70,1
692,1750,192.35,tertiary,70,1
1750,294,55.23,tertiary,70,1
294,521,224.83,tertiary,70,1
520,601,394.51,tertiary,70,1
601,3991,99.05,tertiary,70,1
3991,2986,113.05,tertiary,70,1
2986,558,9.03,tertiary,70,1
558,923,162.05,tertiary,70,1
923,954,52.33,tertiary,70,1
954,3652,28.41,tertiary,70,1
3652,941,11.42,tertiary,70,1
941,3645,38.81,tertiary,70,1
3645,2303,103.92,tertiary,70,1
526,525,42.75,residential,30,1
525,2280,43.44,residential,30,1
531,530,34.39,residential,30,1
530,532,13.19,residential,30,1
532,528,12.2,residential,30,1
528,527,51.2,residential,30,1
2437,2249,43.73,service,10,1
2249,2419,6.26,service,10,1
2419,2414,6.81,service,10,1
2414,2389,5.33,service,10,1
2389,2409,4.61,service,10,1
2409,2404,5.2,service,10,1
2404,2399,4.84,service,10,1
2399,2394,48.62,service,10,1
2440,2438,65.83,service,10,1
2446,2445,14.08,residential,30,1
231,233,5.09,residential,30,1
233,1539,31.39,residential,30,1
210,203,49.65,residential,30,1
203,196,47.78,residential,30,1
212,229,72.58,residential,30,1
235,129,117.31,residential,30,1
208,1558,170.02,residential,30,1
250,248,78.23,residential,30,1
249,252,32.48,residential,30,1
279,242,37.8,residential,30,1
242,269,24.68,residential,30,1
269,274,27.33,residential,30,1
271,266,16.57,residential,30,1
266,1761,40.19,residential,30,1
1761,293,53.18,residential,30,1
284,262,60.92,residential,30,1
389,241,13.14,residential,30,1
241,267,29.44,residential,30,1
261,290,56.3,residential,30,1
4473,272,12.67,residential,30,1
272,273,79.54,residential,30,1
4385,265,44.7,residential,30,1
265,288,17.69,residential,30,1
254,315,8.65,residential,30,1
315,3704,78.76,residential,30,1
298,301,59.16,residential,30,1
301,317,5.74,residential,30,1
317,1618,17.15,residential,30,1
1618,309,137.04,residential,30,1
309,296,11.46,residential,30,1
296,312,46.51,residential,30,1
312,1625,114.39,residential,30,1
1625,1620,30.95,residential,30,1
1620,1633,11.36,residential,30,1
1633,1634,6.28,residential,30,1
1634,2334,119.91,residential,30,1
337,1626,24.85,residential,30,1
1626,297,46.36,residential,30,1
300,1628,56.97,residential,30,1
1628,1613,54.48,residential,30,1
1613,305,83.81,residential,30,1
305,1615,32.14,residential,30,1
255,340,51.9,residential,30,1
340,313,63.18,residential,30,1
557,320,109.26,residential,30,1
320,307,26.45,residential,30,1
299,216,22.37,residential,30,1
216,306,4.95,residential,30,1
306,303,69.08,residential,30,1
300,318,15.47,residential,30,1
318,1629,250.57,residential,30,1
1005,336,63.56,residential,30,1
336,321,99.43,residential,30,1
321,311,98.78,residential,30,1
332,328,128.3,residential,30,1
300,314,137.2,residential,30,1
314,304,4.3,residential,30,1
304,308,67.35,residential,30,1
308,238,62.0,residential,30,1
305,316,41.2,residential,30,1
316,1610,17.99,residential,30,1
1610,253,8.45,residential,30,1
253,1623,39.61,residential,30,1
1695,1638,45.13,residential,30,1
1638,1637,44.96,residential,30,1
399,1645,78.64,residential,30,1
1645,376,13.29,residential,30,1
376,1770,33.73,residential,30,1
1770,363,12.98,residential,30,1
363,1689,3.48,residential,30,1
1689,3986,28.32,residential,30,1
3986,3985,34.14,residential,30,1
3985,3984,24.14,residential,30,1
3984,3983,26.73,residential,30,1
3983,3982,10.29,residential,30,1
3982,3981,11.13,residential,30,1
3981,3980,11.0,residential,30,1
3980,3979,13.6,residential,30,1
3979,3978,17.16,residential,30,1
4587,4586,49.11,residential,30,1
4586,4585,4.87,residential,30,1
4585,4570,4.87,residential,30,1
4570,4584,4.87,residential,30,1
4584,4583,4.87,residential,30,1
4583,4582,5.9,residential,30,1
4582,4581,5.89,residential,30,1
4581,4580,5.89,residential,30,1
4580,4579,5.89,residential,30,1
4579,4578,7.56,residential,30,1
4578,4577,7.54,residential,30,1
4577,4576,7.55,residential,30,1
4576,4575,7.54,residential,30,1
4575,4574,7.78,residential,30,1
4574,4573,7.76,residential,30,1
4573,4572,7.77,residential,30,1
4572,4571,7.76,residential,30,1
4590,4589,29.01,residential,30,1
1605,2449,17.96,residential,30,1
2449,4467,10.28,residential,30,1
4467,4454,10.27,residential,30,1
4454,4453,10.28,residential,30,1
4453,1044,10.27,residential,30,1
1044,12,4.83,residential,30,1
12,4465,5.45,residential,30,1
4465,4468,10.28,residential,30,1
4468,4587,40.27,residential,30,1
4587,4588,25.89,residential,30,1
4588,4456,85.25,residential,30,1
4456,4455,115.3,residential,30,1
4455,1045,10.04,residential,30,1
44,45,43.71,residential,30,1
45,46,76.78,residential,30,1
46,47,121.4,residential,30,1
56,57,19.15,residential,30,1
57,58,21.68,residential,30,1
58,63,28.07,residential,30,1
62,64,8.16,residential,30,1
64,65,9.63,residential,30,1
65,68,45.66,residential,30,1
68,69,7.47,residential,30,1
69,70,9.78,residential,30,1
